cell_id,sample_id,event_index,component_1,component_2,n_test_models,positive_count,negative_count,positive_frequency,negative_frequency
gated_alive:a_004:111615,a_004,111615,-6.476466178894043,4.56037712097168,13,0,0,0.0,0.0
gated_alive:a_004:111922,a_004,111922,-32.242950439453125,-17.08955955505371,13,0,0,0.0,0.0
gated_alive:a_004:111980,a_004,111980,-36.272647857666016,42.9910774230957,13,0,0,0.0,0.0
gated_alive:a_004:112019,a_004,112019,26.150169372558594,47.194305419921875,13,0,0,0.0,0.0
gated_alive:a_004:112575,a_004,112575,52.15174102783203,-22.075275421142578,13,0,0,0.0,0.0
gated_alive:a_004:112719,a_004,112719,-25.866798400878906,-28.573345184326172,13,0,0,0.0,0.0
gated_alive:a_004:112822,a_004,112822,8.004158020019531,-44.497371673583984,13,0,0,0.0,0.0
gated_alive:a_004:113511,a_004,113511,-48.145111083984375,45.43008804321289,13,0,0,0.0,0.0
gated_alive:a_004:113734,a_004,113734,-31.19571304321289,34.206024169921875,13,0,0,0.0,0.0
gated_alive:a_004:113795,a_004,113795,-41.57493209838867,25.90383529663086,13,0,0,0.0,0.0
gated_alive:a_004:113885,a_004,113885,13.637284278869629,54.0845947265625,13,0,0,0.0,0.0
gated_alive:a_004:113947,a_004,113947,-51.91813659667969,43.918296813964844,13,0,0,0.0,0.0
gated_alive:a_004:114137,a_004,114137,-50.48383712768555,25.237821578979492,13,0,0,0.0,0.0
gated_alive:a_004:114241,a_004,114241,-35.10597229003906,-16.849414825439453,13,0,0,0.0,0.0
gated_alive:a_004:114812,a_004,114812,-11.242005348205566,39.005462646484375,13,0,0,0.0,0.0
gated_alive:a_004:114949,a_004,114949,-48.71395492553711,47.37492752075195,13,0,0,0.0,0.0
gated_alive:a_004:115028,a_004,115028,-24.11820411682129,-15.315104484558105,13,0,0,0.0,0.0
gated_alive:a_004:115059,a_004,115059,14.142142295837402,-22.253173828125,13,0,0,0.0,0.0
gated_alive:a_004:115234,a_004,115234,25.29316520690918,17.906187057495117,13,0,0,0.0,0.0
gated_alive:a_004:115312,a_004,115312,-26.341047286987305,27.78904914855957,13,0,0,0.0,0.0
gated_alive:a_004:115774,a_004,115774,10.595036506652832,29.384449005126953,13,0,0,0.0,0.0
gated_alive:a_004:115936,a_004,115936,50.0643424987793,39.16345977783203,13,0,1,0.0,0.07692307692307693
gated_alive:a_004:116174,a_004,116174,-32.89500427246094,32.07461929321289,13,0,0,0.0,0.0
gated_alive:a_004:116633,a_004,116633,-28.423824310302734,28.8259334564209,13,0,0,0.0,0.0
gated_alive:a_004:116714,a_004,116714,21.58420181274414,53.16291046142578,13,0,0,0.0,0.0
gated_alive:a_004:117788,a_004,117788,-54.27278137207031,29.027210235595703,13,0,0,0.0,0.0
gated_alive:a_004:117980,a_004,117980,-22.17172622680664,39.136470794677734,13,0,0,0.0,0.0
gated_alive:a_004:118429,a_004,118429,38.34162139892578,51.112586975097656,13,0,0,0.0,0.0
gated_alive:a_004:118905,a_004,118905,-59.61869430541992,-5.708836078643799,13,0,0,0.0,0.0
gated_alive:a_004:118913,a_004,118913,-32.45206069946289,28.19144058227539,13,0,0,0.0,0.0
gated_alive:a_004:119102,a_004,119102,11.83771800994873,38.46289825439453,13,0,0,0.0,0.0
gated_alive:a_004:119222,a_004,119222,55.63374710083008,-18.085498809814453,13,0,0,0.0,0.0
gated_alive:a_004:119242,a_004,119242,-44.56177520751953,29.82215118408203,13,0,0,0.0,0.0
gated_alive:a_004:119843,a_004,119843,-22.187015533447266,22.63526725769043,13,0,0,0.0,0.0
gated_alive:a_004:120053,a_004,120053,21.732683181762695,42.974700927734375,13,0,0,0.0,0.0
gated_alive:a_004:120124,a_004,120124,12.572912216186523,37.631675720214844,13,0,0,0.0,0.0
gated_alive:a_004:120438,a_004,120438,51.536258697509766,-21.28582191467285,13,0,0,0.0,0.0
gated_alive:a_004:121143,a_004,121143,-36.75165557861328,36.3179817199707,13,0,0,0.0,0.0
gated_alive:a_004:121160,a_004,121160,-27.238861083984375,-14.535786628723145,13,0,0,0.0,0.0
gated_alive:a_004:121331,a_004,121331,-45.16402816772461,31.40230941772461,13,0,0,0.0,0.0
gated_alive:a_004:121723,a_004,121723,-5.173035621643066,-20.22059440612793,13,0,0,0.0,0.0
gated_alive:a_004:121742,a_004,121742,20.44391441345215,-12.315129280090332,13,0,0,0.0,0.0
gated_alive:a_004:122635,a_004,122635,-5.641909599304199,-45.38686752319336,13,0,0,0.0,0.0
gated_alive:a_004:122658,a_004,122658,4.860849380493164,52.267578125,13,0,0,0.0,0.0
gated_alive:a_004:123093,a_004,123093,38.29725646972656,50.69405746459961,13,0,0,0.0,0.0
gated_alive:a_004:123218,a_004,123218,29.74591827392578,28.67246437072754,13,0,0,0.0,0.0
gated_alive:a_004:123322,a_004,123322,51.00860595703125,-15.320707321166992,13,0,0,0.0,0.0
gated_alive:a_004:123996,a_004,123996,55.18254470825195,33.37936019897461,13,0,1,0.0,0.07692307692307693
gated_alive:a_004:124023,a_004,124023,52.668941497802734,-22.973121643066406,13,0,0,0.0,0.0
gated_alive:a_004:124210,a_004,124210,12.286949157714844,34.48606491088867,13,0,0,0.0,0.0
gated_alive:a_004:124355,a_004,124355,-7.1059489250183105,16.412302017211914,13,0,0,0.0,0.0
gated_alive:a_004:124412,a_004,124412,12.923727035522461,36.135189056396484,13,0,0,0.0,0.0
gated_alive:a_004:124803,a_004,124803,-5.988521575927734,-37.93315124511719,13,0,0,0.0,0.0
gated_alive:a_004:124836,a_004,124836,-35.094974517822266,32.5361442565918,13,0,0,0.0,0.0
gated_alive:a_004:125232,a_004,125232,10.066899299621582,41.680381774902344,13,0,0,0.0,0.0
gated_alive:a_004:125788,a_004,125788,-8.645009994506836,48.401611328125,13,0,0,0.0,0.0
gated_alive:a_004:126096,a_004,126096,36.530338287353516,43.285064697265625,13,0,0,0.0,0.0
gated_alive:a_004:126141,a_004,126141,-34.73211669921875,-17.05698585510254,13,0,0,0.0,0.0
gated_alive:a_004:126178,a_004,126178,45.313331604003906,-24.74873161315918,13,0,0,0.0,0.0
gated_alive:a_004:126813,a_004,126813,1.7818526029586792,-27.98922348022461,13,0,0,0.0,0.0
gated_alive:a_004:126902,a_004,126902,53.6735954284668,-8.576708793640137,13,0,0,0.0,0.0
gated_alive:a_004:126944,a_004,126944,19.692533493041992,-47.08243942260742,13,0,0,0.0,0.0
gated_alive:a_004:127100,a_004,127100,3.4351611137390137,-36.254241943359375,13,0,0,0.0,0.0
gated_alive:a_004:127242,a_004,127242,42.001155853271484,-29.827266693115234,13,0,0,0.0,0.0
gated_alive:a_004:127707,a_004,127707,38.3460693359375,-23.543630599975586,13,0,0,0.0,0.0
gated_alive:a_004:128001,a_004,128001,48.078121185302734,7.070122718811035,13,0,0,0.0,0.0
gated_alive:a_004:128057,a_004,128057,56.56704330444336,-3.1963064670562744,13,0,0,0.0,0.0
gated_alive:a_004:128282,a_004,128282,-35.01689910888672,55.51946258544922,13,0,0,0.0,0.0
gated_alive:a_004:128486,a_004,128486,-24.064239501953125,-0.835887610912323,13,0,2,0.0,0.15384615384615385
gated_alive:a_004:129231,a_004,129231,35.018367767333984,36.63877868652344,13,0,1,0.0,0.07692307692307693
gated_alive:a_004:129387,a_004,129387,-38.022281646728516,-13.692710876464844,13,0,0,0.0,0.0
gated_alive:a_004:129608,a_004,129608,-39.5516471862793,30.761730194091797,13,0,0,0.0,0.0
gated_alive:a_004:129725,a_004,129725,43.065616607666016,-26.352710723876953,13,0,0,0.0,0.0
gated_alive:a_004:129931,a_004,129931,7.786911964416504,38.91685104370117,13,0,0,0.0,0.0
gated_alive:a_004:130017,a_004,130017,45.839107513427734,7.342743396759033,13,0,0,0.0,0.0
gated_alive:a_004:130296,a_004,130296,26.662446975708008,-2.7582130432128906,13,0,0,0.0,0.0
gated_alive:a_004:130334,a_004,130334,-23.615327835083008,39.026611328125,13,0,0,0.0,0.0
gated_alive:a_004:130399,a_004,130399,-36.107460021972656,23.830251693725586,13,0,0,0.0,0.0
gated_alive:a_004:131267,a_004,131267,-56.92711639404297,-10.48922061920166,13,0,0,0.0,0.0
gated_alive:a_004:131455,a_004,131455,-15.946212768554688,18.77520179748535,13,0,0,0.0,0.0
gated_alive:a_004:131686,a_004,131686,-37.90755844116211,35.35211181640625,13,0,0,0.0,0.0
gated_alive:a_004:131779,a_004,131779,52.532188415527344,32.560325622558594,13,0,2,0.0,0.15384615384615385
gated_alive:a_004:132086,a_004,132086,-36.0008659362793,28.156627655029297,13,0,0,0.0,0.0
gated_alive:a_004:132522,a_004,132522,41.96952819824219,-15.635091781616211,13,0,0,0.0,0.0
gated_alive:a_004:132541,a_004,132541,-2.3401505947113037,-29.99700927734375,13,0,0,0.0,0.0
gated_alive:a_004:133008,a_004,133008,-7.126245975494385,10.29821491241455,13,0,0,0.0,0.0
gated_alive:a_004:133409,a_004,133409,-34.76602554321289,39.619789123535156,13,0,0,0.0,0.0
gated_alive:a_004:133626,a_004,133626,-13.910951614379883,15.10323429107666,13,0,0,0.0,0.0
