cell_id,sample_id,event_index
gated_alive:a_002:4095,a_002,4095
gated_alive:a_002:4358,a_002,4358
gated_alive:a_002:4520,a_002,4520
gated_alive:a_002:4717,a_002,4717
gated_alive:a_002:5030,a_002,5030
gated_alive:a_002:5216,a_002,5216
gated_alive:a_002:5289,a_002,5289
gated_alive:a_002:5387,a_002,5387
gated_alive:a_002:5458,a_002,5458
gated_alive:a_002:5562,a_002,5562
gated_alive:a_002:6126,a_002,6126
gated_alive:a_002:6885,a_002,6885
gated_alive:a_002:7573,a_002,7573
gated_alive:a_002:7905,a_002,7905
gated_alive:a_002:7987,a_002,7987
gated_alive:a_002:8171,a_002,8171
gated_alive:a_002:8208,a_002,8208
gated_alive:a_002:8233,a_002,8233
gated_alive:a_002:8819,a_002,8819
gated_alive:a_002:8925,a_002,8925
gated_alive:a_002:8938,a_002,8938
gated_alive:a_002:9101,a_002,9101
gated_alive:a_002:9504,a_002,9504
gated_alive:a_002:9609,a_002,9609
gated_alive:a_002:9856,a_002,9856
gated_alive:a_002:10063,a_002,10063
gated_alive:a_002:10442,a_002,10442
gated_alive:a_002:10698,a_002,10698
gated_alive:a_002:10749,a_002,10749
gated_alive:a_002:10827,a_002,10827
gated_alive:a_002:11074,a_002,11074
gated_alive:a_002:11307,a_002,11307
gated_alive:a_002:11375,a_002,11375
gated_alive:a_002:12512,a_002,12512
gated_alive:a_002:12526,a_002,12526
gated_alive:a_002:12584,a_002,12584
gated_alive:a_002:12783,a_002,12783
gated_alive:a_002:12851,a_002,12851
gated_alive:a_002:12894,a_002,12894
gated_alive:a_002:13239,a_002,13239
gated_alive:a_002:13600,a_002,13600
gated_alive:a_002:13635,a_002,13635
gated_alive:a_002:13719,a_002,13719
gated_alive:a_002:13723,a_002,13723
gated_alive:a_002:13765,a_002,13765
gated_alive:a_002:14228,a_002,14228
gated_alive:a_002:15057,a_002,15057
gated_alive:a_002:15336,a_002,15336
gated_alive:a_002:15634,a_002,15634
gated_alive:a_002:15756,a_002,15756
gated_alive:a_002:15812,a_002,15812
gated_alive:a_002:15868,a_002,15868
gated_alive:a_002:15938,a_002,15938
gated_alive:a_002:15953,a_002,15953
gated_alive:a_002:16238,a_002,16238
gated_alive:a_002:16245,a_002,16245
gated_alive:a_002:16305,a_002,16305
gated_alive:a_002:16346,a_002,16346
gated_alive:a_002:16603,a_002,16603
gated_alive:a_002:17179,a_002,17179
gated_alive:a_002:17225,a_002,17225
gated_alive:a_002:17789,a_002,17789
gated_alive:a_002:17793,a_002,17793
gated_alive:a_002:17872,a_002,17872
gated_alive:a_002:17880,a_002,17880
gated_alive:a_002:18066,a_002,18066
gated_alive:a_002:18158,a_002,18158
gated_alive:a_002:18414,a_002,18414
gated_alive:a_002:18449,a_002,18449
gated_alive:a_002:18702,a_002,18702
gated_alive:a_002:18843,a_002,18843
gated_alive:a_002:18907,a_002,18907
gated_alive:a_002:19799,a_002,19799
gated_alive:a_002:20210,a_002,20210
gated_alive:a_002:20415,a_002,20415
gated_alive:a_002:20909,a_002,20909
gated_alive:a_002:21800,a_002,21800
gated_alive:a_002:21801,a_002,21801
gated_alive:a_002:22300,a_002,22300
gated_alive:a_002:22387,a_002,22387
gated_alive:a_002:22406,a_002,22406
gated_alive:a_002:22788,a_002,22788
gated_alive:a_002:23079,a_002,23079
