cluster,sample_id,cell_count,variant
3,a_2a,55,leiden_r1.0
3,a_2b,105,leiden_r1.0
3,a_3a,32,leiden_r1.0
3,a_3b,48,leiden_r1.0
3,a_4a,81,leiden_r1.0
3,a_4b,59,leiden_r1.0
3,a_5a,77,leiden_r1.0
3,a_5b,93,leiden_r1.0
4,a_001,40,leiden_r1.0
4,a_002,93,leiden_r1.0
4,a_003,105,leiden_r1.0
4,a_004,62,leiden_r1.0
4,a_005,98,leiden_r1.0
4,a_006,17,leiden_r1.0
4,a_007,53,leiden_r1.0
4,a_009,45,leiden_r1.0
4,a_010,39,leiden_r1.0
4,a_011,97,leiden_r1.0
4,a_012,46,leiden_r1.0
4,a_1a,39,leiden_r1.0
4,a_2a,24,leiden_r1.0
4,a_2b,11,leiden_r1.0
4,a_3a,40,leiden_r1.0
4,a_3b,47,leiden_r1.0
4,a_4a,56,leiden_r1.0
4,a_4b,28,leiden_r1.0
4,a_5a,44,leiden_r1.0
4,a_5b,35,leiden_r1.0
5,a_001,22,leiden_r1.0
5,a_002,30,leiden_r1.0
5,a_003,38,leiden_r1.0
5,a_004,37,leiden_r1.0
5,a_005,44,leiden_r1.0
5,a_006,44,leiden_r1.0
5,a_007,27,leiden_r1.0
5,a_009,31,leiden_r1.0
5,a_010,40,leiden_r1.0
5,a_011,28,leiden_r1.0
5,a_012,28,leiden_r1.0
5,a_1a,5,leiden_r1.0
5,a_2a,52,leiden_r1.0
5,a_2b,59,leiden_r1.0
5,a_3a,59,leiden_r1.0
5,a_3b,52,leiden_r1.0
5,a_4a,54,leiden_r1.0
5,a_4b,50,leiden_r1.0
5,a_5a,47,leiden_r1.0
5,a_5b,60,leiden_r1.0
6,a_001,29,leiden_r1.0
6,a_002,39,leiden_r1.0
6,a_003,44,leiden_r1.0
6,a_004,20,leiden_r1.0
6,a_005,66,leiden_r1.0
6,a_006,53,leiden_r1.0
6,a_007,41,leiden_r1.0
6,a_009,64,leiden_r1.0
6,a_010,25,leiden_r1.0
6,a_011,22,leiden_r1.0
6,a_012,31,leiden_r1.0
6,a_1a,16,leiden_r1.0
6,a_2a,11,leiden_r1.0
6,a_2b,5,leiden_r1.0
6,a_3a,25,leiden_r1.0
6,a_3b,14,leiden_r1.0
6,a_4a,38,leiden_r1.0
6,a_4b,33,leiden_r1.0
6,a_5a,60,leiden_r1.0
6,a_5b,43,leiden_r1.0
7,a_001,22,leiden_r1.0
7,a_002,22,leiden_r1.0
7,a_003,12,leiden_r1.0
7,a_004,16,leiden_r1.0
7,a_005,13,leiden_r1.0
7,a_006,19,leiden_r1.0
7,a_007,19,leiden_r1.0
7,a_009,19,leiden_r1.0
7,a_010,41,leiden_r1.0
7,a_011,50,leiden_r1.0
7,a_012,73,leiden_r1.0
7,a_1a,8,leiden_r1.0
7,a_2a,20,leiden_r1.0
7,a_2b,8,leiden_r1.0
7,a_3a,12,leiden_r1.0
7,a_3b,19,leiden_r1.0
7,a_4a,15,leiden_r1.0
7,a_4b,13,leiden_r1.0
7,a_5a,10,leiden_r1.0
7,a_5b,11,leiden_r1.0
8,a_001,21,leiden_r1.0
8,a_002,14,leiden_r1.0
8,a_003,16,leiden_r1.0
8,a_004,18,leiden_r1.0
8,a_005,16,leiden_r1.0
8,a_006,19,leiden_r1.0
8,a_007,13,leiden_r1.0
8,a_009,20,leiden_r1.0
8,a_010,18,leiden_r1.0
8,a_011,17,leiden_r1.0
8,a_012,10,leiden_r1.0
8,a_1a,40,leiden_r1.0
8,a_2a,29,leiden_r1.0
8,a_2b,14,leiden_r1.0
8,a_3a,24,leiden_r1.0
8,a_3b,20,leiden_r1.0
8,a_4a,22,leiden_r1.0
8,a_4b,29,leiden_r1.0
8,a_5a,19,leiden_r1.0
8,a_5b,10,leiden_r1.0
9,a_001,3,leiden_r1.0
9,a_002,11,leiden_r1.0
9,a_003,27,leiden_r1.0
9,a_004,1,leiden_r1.0
9,a_005,6,leiden_r1.0
9,a_006,31,leiden_r1.0
9,a_007,22,leiden_r1.0
9,a_009,36,leiden_r1.0
9,a_010,1,leiden_r1.0
9,a_011,5,leiden_r1.0
9,a_012,20,leiden_r1.0
9,a_1a,9,leiden_r1.0
9,a_2a,1,leiden_r1.0
9,a_2b,4,leiden_r1.0
9,a_3a,4,leiden_r1.0
9,a_3b,1,leiden_r1.0
9,a_4a,24,leiden_r1.0
9,a_4b,10,leiden_r1.0
9,a_5a,14,leiden_r1.0
9,a_5b,17,leiden_r1.0
10,a_001,6,leiden_r1.0
10,a_002,4,leiden_r1.0
10,a_003,8,leiden_r1.0
10,a_004,3,leiden_r1.0
10,a_005,8,leiden_r1.0
10,a_006,10,leiden_r1.0
10,a_007,4,leiden_r1.0
10,a_009,9,leiden_r1.0
10,a_010,7,leiden_r1.0
10,a_011,7,leiden_r1.0
10,a_012,12,leiden_r1.0
10,a_1a,6,leiden_r1.0
10,a_2a,13,leiden_r1.0
10,a_2b,10,leiden_r1.0
10,a_3a,6,leiden_r1.0
10,a_3b,5,leiden_r1.0
10,a_4a,3,leiden_r1.0
10,a_4b,16,leiden_r1.0
10,a_5a,5,leiden_r1.0
10,a_5b,10,leiden_r1.0
