split_id,C,inner_fold,validation_roc_auc,gate,run_mode,selected
41,1.0,0,0.8333333333333333,gated_alive,full,False
41,1.0,1,0.8333333333333334,gated_alive,full,False
41,1.0,2,0.75,gated_alive,full,False
42,0.01,0,0.6666666666666666,gated_alive,full,True
42,0.01,1,0.8333333333333334,gated_alive,full,True
42,0.01,2,1.0,gated_alive,full,True
42,0.1,0,0.6666666666666666,gated_alive,full,False
42,0.1,1,0.8333333333333334,gated_alive,full,False
42,0.1,2,1.0,gated_alive,full,False
42,1.0,0,0.6666666666666666,gated_alive,full,False
42,1.0,1,0.8333333333333334,gated_alive,full,False
42,1.0,2,1.0,gated_alive,full,False
43,0.01,0,0.8333333333333333,gated_alive,full,True
43,0.01,1,0.8333333333333334,gated_alive,full,True
43,0.01,2,0.5,gated_alive,full,True
43,0.1,0,0.8333333333333333,gated_alive,full,False
43,0.1,1,0.8333333333333334,gated_alive,full,False
43,0.1,2,0.5,gated_alive,full,False
43,1.0,0,0.8333333333333333,gated_alive,full,False
43,1.0,1,0.8333333333333334,gated_alive,full,False
43,1.0,2,0.5,gated_alive,full,False
44,0.01,0,0.6666666666666666,gated_alive,full,True
44,0.01,1,0.6666666666666667,gated_alive,full,True
44,0.01,2,0.75,gated_alive,full,True
44,0.1,0,0.6666666666666666,gated_alive,full,False
44,0.1,1,0.6666666666666667,gated_alive,full,False
44,0.1,2,0.75,gated_alive,full,False
44,1.0,0,0.6666666666666666,gated_alive,full,False
44,1.0,1,0.6666666666666667,gated_alive,full,False
44,1.0,2,0.75,gated_alive,full,False
45,0.01,0,0.5,gated_alive,full,True
45,0.01,1,0.33333333333333337,gated_alive,full,True
45,0.01,2,0.25,gated_alive,full,True
45,0.1,0,0.5,gated_alive,full,False
45,0.1,1,0.33333333333333337,gated_alive,full,False
45,0.1,2,0.25,gated_alive,full,False
45,1.0,0,0.5,gated_alive,full,False
45,1.0,1,0.33333333333333337,gated_alive,full,False
45,1.0,2,0.25,gated_alive,full,False
46,0.01,0,1.0,gated_alive,full,True
46,0.01,1,1.0,gated_alive,full,True
46,0.01,2,0.5,gated_alive,full,True
46,0.1,0,1.0,gated_alive,full,False
46,0.1,1,1.0,gated_alive,full,False
46,0.1,2,0.5,gated_alive,full,False
46,1.0,0,1.0,gated_alive,full,False
46,1.0,1,1.0,gated_alive,full,False
46,1.0,2,0.5,gated_alive,full,False
47,0.01,0,0.8333333333333333,gated_alive,full,True
47,0.01,1,0.8333333333333334,gated_alive,full,True
47,0.01,2,1.0,gated_alive,full,True
47,0.1,0,0.8333333333333333,gated_alive,full,False
47,0.1,1,0.8333333333333334,gated_alive,full,False
47,0.1,2,1.0,gated_alive,full,False
47,1.0,0,0.8333333333333333,gated_alive,full,False
47,1.0,1,0.8333333333333334,gated_alive,full,False
47,1.0,2,1.0,gated_alive,full,False
48,0.01,0,0.16666666666666669,gated_alive,full,True
48,0.01,1,0.0,gated_alive,full,True
48,0.01,2,0.5,gated_alive,full,True
48,0.1,0,0.16666666666666669,gated_alive,full,False
48,0.1,1,0.0,gated_alive,full,False
48,0.1,2,0.5,gated_alive,full,False
48,1.0,0,0.16666666666666669,gated_alive,full,False
48,1.0,1,0.0,gated_alive,full,False
48,1.0,2,0.5,gated_alive,full,False
49,0.01,0,0.3333333333333333,gated_alive,full,True
49,0.01,1,1.0,gated_alive,full,True
49,0.01,2,0.5,gated_alive,full,True
49,0.1,0,0.3333333333333333,gated_alive,full,False
49,0.1,1,1.0,gated_alive,full,False
49,0.1,2,0.5,gated_alive,full,False
49,1.0,0,0.3333333333333333,gated_alive,full,False
49,1.0,1,1.0,gated_alive,full,False
49,1.0,2,0.5,gated_alive,full,False
50,0.01,0,0.6666666666666666,gated_alive,full,True
50,0.01,1,0.5,gated_alive,full,True
50,0.01,2,0.25,gated_alive,full,True
50,0.1,0,0.6666666666666666,gated_alive,full,False
50,0.1,1,0.5,gated_alive,full,False
50,0.1,2,0.25,gated_alive,full,False
50,1.0,0,0.6666666666666666,gated_alive,full,False
50,1.0,1,0.5,gated_alive,full,False
50,1.0,2,0.25,gated_alive,full,False
51,0.01,0,0.6666666666666666,gated_alive,full,True
51,0.01,1,1.0,gated_alive,full,True
51,0.01,2,0.5,gated_alive,full,True
51,0.1,0,0.6666666666666666,gated_alive,full,False
51,0.1,1,1.0,gated_alive,full,False
51,0.1,2,0.5,gated_alive,full,False
51,1.0,0,0.6666666666666666,gated_alive,full,False
51,1.0,1,1.0,gated_alive,full,False
51,1.0,2,0.5,gated_alive,full,False
52,0.01,0,0.6666666666666666,gated_alive,full,True
52,0.01,1,0.6666666666666667,gated_alive,full,True
52,0.01,2,0.75,gated_alive,full,True
52,0.1,0,0.6666666666666666,gated_alive,full,False
52,0.1,1,0.6666666666666667,gated_alive,full,False
52,0.1,2,0.75,gated_alive,full,False
52,1.0,0,0.6666666666666666,gated_alive,full,False
52,1.0,1,0.6666666666666667,gated_alive,full,False
52,1.0,2,0.75,gated_alive,full,False
53,0.01,0,0.6666666666666666,gated_alive,full,True
53,0.01,1,0.8333333333333334,gated_alive,full,True
53,0.01,2,1.0,gated_alive,full,True
53,0.1,0,0.6666666666666666,gated_alive,full,False
53,0.1,1,0.8333333333333334,gated_alive,full,False
53,0.1,2,1.0,gated_alive,full,False
53,1.0,0,0.6666666666666666,gated_alive,full,False
53,1.0,1,0.8333333333333334,gated_alive,full,False
53,1.0,2,1.0,gated_alive,full,False
54,0.01,0,0.3333333333333333,gated_alive,full,True
54,0.01,1,0.33333333333333337,gated_alive,full,True
54,0.01,2,0.75,gated_alive,full,True
54,0.1,0,0.3333333333333333,gated_alive,full,False
54,0.1,1,0.33333333333333337,gated_alive,full,False
54,0.1,2,0.75,gated_alive,full,False
54,1.0,0,0.3333333333333333,gated_alive,full,False
54,1.0,1,0.33333333333333337,gated_alive,full,False
54,1.0,2,0.75,gated_alive,full,False
55,0.01,0,0.6666666666666666,gated_alive,full,True
55,0.01,1,0.6666666666666667,gated_alive,full,True
55,0.01,2,1.0,gated_alive,full,True
55,0.1,0,0.6666666666666666,gated_alive,full,False
55,0.1,1,0.6666666666666667,gated_alive,full,False
55,0.1,2,1.0,gated_alive,full,False
55,1.0,0,0.6666666666666666,gated_alive,full,False
55,1.0,1,0.6666666666666667,gated_alive,full,False
55,1.0,2,1.0,gated_alive,full,False
56,0.01,0,1.0,gated_alive,full,True
56,0.01,1,0.33333333333333337,gated_alive,full,True
56,0.01,2,0.5,gated_alive,full,True
56,0.1,0,1.0,gated_alive,full,False
56,0.1,1,0.33333333333333337,gated_alive,full,False
56,0.1,2,0.5,gated_alive,full,False
56,1.0,0,1.0,gated_alive,full,False
56,1.0,1,0.33333333333333337,gated_alive,full,False
56,1.0,2,0.5,gated_alive,full,False
57,0.01,0,0.16666666666666666,gated_alive,full,True
57,0.01,1,1.0,gated_alive,full,True
