split_id,filter_id,training_maximum,response_threshold,contrast,training_donors
28,3,11.96878433227539,5.984392166137695,1.2276442050933838,a_001;a_002;a_005;a_009;a_010;a_011;a_1a;a_2b;a_4a
28,4,12.219334602355957,6.1096673011779785,1.2003262042999268,a_001;a_002;a_005;a_009;a_010;a_011;a_1a;a_2b;a_4a
29,0,12.371670722961426,6.185835361480713,-0.8089205622673035,a_001;a_003;a_005;a_006;a_007;a_010;a_011;a_1a;a_4a;a_5a
29,1,34.24745559692383,17.123727798461914,-1.694950819015503,a_001;a_003;a_005;a_006;a_007;a_010;a_011;a_1a;a_4a;a_5a
29,2,20.184337615966797,10.092168807983398,2.9641363620758057,a_001;a_003;a_005;a_006;a_007;a_010;a_011;a_1a;a_4a;a_5a
30,0,10.672335624694824,5.336167812347412,-0.8186354637145996,a_002;a_003;a_006;a_009;a_010;a_012;a_3b;a_4b;a_5a;a_5b
30,1,12.59201431274414,6.29600715637207,1.521204948425293,a_002;a_003;a_006;a_009;a_010;a_012;a_3b;a_4b;a_5a;a_5b
30,2,11.86013412475586,5.93006706237793,-0.6622835993766785,a_002;a_003;a_006;a_009;a_010;a_012;a_3b;a_4b;a_5a;a_5b
31,0,20.13884162902832,10.06942081451416,-1.001781702041626,a_002;a_006;a_009;a_2a;a_3a;a_3b;a_4a;a_4b;a_5b
31,1,19.184207916259766,9.592103958129883,-0.9126641750335693,a_002;a_006;a_009;a_2a;a_3a;a_3b;a_4a;a_4b;a_5b
31,2,20.218563079833984,10.109281539916992,2.1586647033691406,a_002;a_006;a_009;a_2a;a_3a;a_3b;a_4a;a_4b;a_5b
32,0,12.5880765914917,6.29403829574585,1.1062111854553223,a_005;a_006;a_007;a_1a;a_2b;a_3b;a_4b;a_5a;a_5b
32,1,30.683935165405273,15.341967582702637,-1.4863216876983643,a_005;a_006;a_007;a_1a;a_2b;a_3b;a_4b;a_5a;a_5b
32,2,7.878371238708496,3.939185619354248,0.6833900809288025,a_005;a_006;a_007;a_1a;a_2b;a_3b;a_4b;a_5a;a_5b
32,3,15.421272277832031,7.710636138916016,1.0897825956344604,a_005;a_006;a_007;a_1a;a_2b;a_3b;a_4b;a_5a;a_5b
33,0,10.146469116210938,5.073234558105469,0.8555432558059692,a_001;a_002;a_003;a_004;a_006;a_012;a_1a;a_2a;a_4a;a_5b
