split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,validation_cross_entropy_at_best_epoch,epochs_run,selected
10,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,3605323606,0.75,0.75,0.5404097199440002,0.5400105285644531,10,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,1429425234,0.4,0.3333333333333333,0.7117373299598694,0.7116329622268677,6,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,1429425334,0.6,0.8333333333333333,0.4738227287530899,0.47274237620830534,15,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,1429425434,0.4,0.16666666666666666,0.7203238034248352,0.7202673578262329,7,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,1429435234,0.4,0.33333333333333337,0.7176469950675964,0.7175729660987854,8,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,1429435334,1.0,1.0,0.04665896800160408,0.038674258089624346,67,True
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,1429435434,0.8,1.0,0.34047824585437775,0.33557854345440863,23,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,1429445234,0.5,0.0,0.6986571884155274,0.6985331511497498,6,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,1429445334,1.0,1.0,0.25957660369575025,0.25624376758933065,24,False
11,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,1429445434,0.75,1.0,0.33391728907823565,0.3313519850373268,17,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,2437408456,0.2,0.16666666666666666,0.7202126412391663,0.7201648383140564,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,2437408556,0.2,0.16666666666666666,0.7381460366249084,0.7380392847061157,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,2437408656,0.8,0.8333333333333333,0.5684212801456452,0.5678456330299377,11,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,2437418456,0.4,0.33333333333333337,0.7288288626670837,0.7287533435821533,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,2437418556,0.4,0.6666666666666667,0.7267899761199951,0.7267202982902526,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,2437418656,0.4,0.0,0.7638136515617371,0.7636919388771057,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,2437428456,0.25,0.0,0.6969456100463867,0.696890058517456,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,2437428556,0.25,0.25,0.7132595753669739,0.7132282829284669,6,False
12,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,2437428656,1.0,1.0,0.05471763739362359,0.04781028484227136,42,True
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,2569716828,0.4,0.3333333333333333,0.7334605903625488,0.7333099694252014,8,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,2569716928,0.6,0.6666666666666666,0.6580535306930542,0.6571904592514038,12,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,2569717028,0.4,0.3333333333333333,0.7259625515937805,0.7259113512039185,6,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,2569726828,0.6,0.5,0.6865259680747986,0.6864826354980469,6,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,2569726928,0.4,0.6666666666666667,0.7099483485221862,0.7098586435317993,6,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,2569727028,1.0,1.0,0.17658772387355565,0.17161895636469127,46,True
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,2569736828,0.5,0.25,0.7025273251533508,0.70242271900177,7,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,2569736928,0.75,0.5,0.6948283457756043,0.6947239685058594,7,False
13,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,2569737028,0.75,0.75,0.44761925399303437,0.4413091564178467,26,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,915442570,0.6,0.8333333333333333,0.6639764938354492,0.6639249885082245,6,True
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,915442670,0.6,0.6666666666666666,0.6786054182052612,0.6784920501708984,6,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,915442770,0.4,0.8333333333333333,0.7043416018486023,0.7041012163162231,9,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,915452570,0.2,0.5,0.6973420820236206,0.697225733757019,6,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,915452670,0.4,0.33333333333333337,0.715525767326355,0.7154682488441467,6,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,915452770,0.4,0.6666666666666667,0.6968252987861633,0.6967557997703552,6,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,915462570,0.5,0.5,0.6946433305740356,0.6945919513702392,6,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,915462670,0.5,0.5,0.693245780467987,0.6932092428207397,6,False
14,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,915462770,0.25,0.0,0.7005028390884399,0.7003879809379577,6,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,802017519,0.6,0.5,0.6702018342018128,0.6701528956890106,6,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,802017619,0.4,0.6666666666666666,0.6137638137340545,0.6120962431430816,15,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,802017719,0.4,0.3333333333333333,0.7229071626663208,0.7228020796775818,7,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,802027519,0.4,0.33333333333333337,0.7214282507896423,0.7213306183815003,8,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,802027619,0.6,0.8333333333333334,0.47992459386587144,0.476531642049551,20,True
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,802027719,0.6,0.6666666666666667,0.5953631403446198,0.5948800668716431,9,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,802037519,0.0,0.0,0.7095666909217835,0.7094746017456055,6,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,802037619,0.5,0.75,0.5036812886595726,0.49889180302619934,24,False
15,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,802037719,0.25,0.25,0.740801932811737,0.7407176518440246,6,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,984129368,0.4,0.3333333333333333,0.7221433825492859,0.7219897813796997,9,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,984129468,0.4,0.3333333333333333,0.7115383448600769,0.7114503087997437,6,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,984129568,0.4,0.6666666666666666,0.738194387435913,0.7380671911239624,6,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,984139368,0.6,0.8333333333333334,0.6951531553268433,0.6948769810199737,10,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,984139468,0.6,0.6666666666666667,0.706511127948761,0.7061252994537354,9,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,984139568,0.4,0.6666666666666667,0.7467177262306214,0.7466255102157593,6,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,984149368,0.75,0.75,0.6435963320732117,0.6424195671081543,16,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,984149468,0.5,0.0,0.6973561477661133,0.6973330807685852,7,False
16,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,984149568,0.75,0.75,0.44929448783397674,0.44796531975269316,14,True
17,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,2889465506,0.8,0.6666666666666666,0.5471055188179016,0.5449359846115113,21,False
17,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,2889465606,1.0,1.0,0.17043799299001694,0.1588600199818611,44,True
17,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,2889465706,1.0,1.0,0.314607070684433,0.30886288452148436,26,False
17,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,2889475506,0.8,0.6666666666666667,0.6206830048561096,0.6201605105400085,12,False
