split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_learnable,frequency_auc_learnable,frequency_effect_learnable,phenotype_status_learnable,network_auc_hard,frequency_auc_hard,frequency_effect_hard,phenotype_status_hard,network_auc_delta,network_auc_delta_vs_baseline
13,1.0,1.0,0.012225,berechnet,0.875,1.0,0.008249999999999999,berechnet,0.875,1.0,0.0082499999999999,berechnet,0.0,-0.125
14,1.0,1.0,0.008950000000000001,berechnet,1.0,1.0,0.0067,berechnet,1.0,1.0,0.006425,berechnet,0.0,0.0
15,0.625,0.5,-0.0010125000000000004,berechnet,1.0,1.0,0.003575,berechnet,0.875,1.0,0.0031875,berechnet,0.125,0.375
16,0.625,0.875,0.011449999999999998,berechnet,1.0,0.625,0.006725,berechnet,1.0,0.75,0.0068625,berechnet,0.0,0.375
17,0.625,1.0,0.0038374999999999998,berechnet,0.75,0.6875,0.0005874999999999999,berechnet,0.75,0.6875,0.001425,berechnet,0.0,0.125
18,1.0,1.0,0.015612500000000001,berechnet,1.0,1.0,0.013962500000000001,berechnet,1.0,1.0,0.01225,berechnet,0.0,0.0
19,0.5,0.625,0.0007374999999999994,berechnet,0.75,1.0,0.0063625,berechnet,0.875,1.0,0.006375,berechnet,-0.125,0.25
20,0.75,0.75,0.000325,berechnet,0.75,1.0,0.0027624999999999998,berechnet,0.875,1.0,0.0027875,berechnet,-0.125,0.0
21,0.625,0.5,0.003475,berechnet,1.0,1.0,0.0039,berechnet,1.0,1.0,0.004075,berechnet,0.0,0.375
22,0.625,0.875,0.0090375,berechnet,0.375,0.875,0.0013375,berechnet,0.375,0.875,0.0010375,berechnet,0.0,-0.25
23,0.625,1.0,0.0075375,berechnet,1.0,0.8125,0.0005499999999999999,berechnet,1.0,0.625,0.0014,berechnet,0.0,0.375
24,1.0,1.0,0.025224999999999997,berechnet,1.0,1.0,0.01585,berechnet,1.0,1.0,0.0150874999999999,berechnet,0.0,0.0
25,0.875,1.0,0.0025375,berechnet,1.0,0.875,0.0008500000000000001,berechnet,1.0,0.875,0.0007624999999999,berechnet,0.0,0.125
26,0.875,0.875,0.0034750000000000002,berechnet,1.0,0.875,0.00375,berechnet,1.0,0.875,0.0037625,berechnet,0.0,0.125
27,0.75,0.625,0.010962499999999998,berechnet,1.0,0.75,0.0091125,berechnet,1.0,0.75,0.0090625,berechnet,0.0,0.25
28,1.0,1.0,0.0137875,berechnet,1.0,1.0,0.0095125,berechnet,1.0,1.0,0.00945,berechnet,0.0,0.0
29,1.0,1.0,0.0144375,berechnet,1.0,1.0,0.009825,berechnet,1.0,1.0,0.0096625,berechnet,0.0,0.0
30,0.875,0.875,0.00315,berechnet,1.0,1.0,0.003675,berechnet,1.0,1.0,0.0036375,berechnet,0.0,0.125
31,0.875,0.75,0.00038750000000000004,berechnet,0.75,0.0,-0.000175,berechnet,0.75,0.0,-0.000175,berechnet,0.0,-0.125
32,1.0,0.875,0.006337499999999999,berechnet,1.0,0.875,0.004049999999999999,berechnet,1.0,0.875,0.0039375,berechnet,0.0,0.0
33,0.75,1.0,0.0020250000000000003,berechnet,0.875,1.0,0.0011250000000000001,berechnet,0.875,1.0,0.0009875,berechnet,0.0,0.125
34,0.875,1.0,0.0015375,berechnet,1.0,1.0,0.0095,berechnet,1.0,1.0,0.0094875,berechnet,0.0,0.125
35,0.875,0.8125,0.005212500000000001,berechnet,1.0,1.0,0.0100625,berechnet,1.0,1.0,0.010275,berechnet,0.0,0.125
36,0.875,1.0,0.0061625,berechnet,0.75,1.0,0.0053750000000000004,berechnet,0.75,1.0,0.0056125,berechnet,0.0,-0.125
37,1.0,1.0,0.0084125,berechnet,1.0,1.0,0.003175,berechnet,1.0,1.0,0.003025,berechnet,0.0,0.0
38,0.375,0.375,-0.041624999999999995,berechnet,1.0,1.0,0.017912499999999998,berechnet,1.0,1.0,0.02035,berechnet,0.0,0.625
39,0.875,0.875,0.006225,berechnet,1.0,0.6875,0.0026875000000000002,berechnet,0.875,0.625,0.0024375,berechnet,0.125,0.125
40,0.375,0.625,0.00031249999999999984,berechnet,0.625,0.5625,0.000375,berechnet,0.625,0.625,0.000675,berechnet,0.0,0.25
41,0.5,0.5625,0.0018249999999999998,berechnet,0.875,0.875,0.0017000000000000001,berechnet,1.0,0.6875,0.0019125,berechnet,-0.125,0.375
42,0.625,0.5,-8.74999999999999e-05,berechnet,0.875,0.875,0.0009750000000000001,berechnet,0.875,0.875,0.0007375,berechnet,0.0,0.25
