split_id,donor_id,y_true,filter_id,alpha,rho,halfmax_threshold,frequency,n_selected_cells,training_donors,pooled_response,n_cells
14,a_3a,0,1,0.0112958624958992,3.3869571685791016,1.6859327554702759,0.0,0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,0.08110007643699646,20000
14,a_3b,0,1,0.0112958624958992,3.3869571685791016,1.6859327554702759,0.0,0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,0.09820959717035294,20000
14,a_5a,1,1,0.0112958624958992,3.3869571685791016,1.6859327554702759,0.0,0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,0.048084408044815063,20000
15,a_002,1,2,0.005420622881501913,0.9474412798881531,0.42429763078689575,0.00095,19,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b,0.3152605891227722,20000
15,a_003,0,2,0.005420622881501913,0.9474412798881531,0.42429763078689575,0.00305,61,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b,0.431271493434906,20000
15,a_011,0,2,0.005420622881501913,0.9474412798881531,0.42429763078689575,0.00405,81,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b,0.47248226404190063,20000
15,a_1a,0,2,0.005420622881501913,0.9474412798881531,0.42429763078689575,0.0001,2,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b,0.0994419977068901,20000
15,a_3a,0,2,0.005420622881501913,0.9474412798881531,0.42429763078689575,0.00015,3,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b,0.10960863530635834,20000
15,a_4b,1,2,0.005420622881501913,0.9474412798881531,0.42429763078689575,0.0008,16,a_004;a_005;a_007;a_009;a_010;a_012;a_2a;a_4a;a_5b,0.2940661311149597,20000
16,a_003,0,2,0.010810194537043571,2.171513557434082,0.8577311635017395,0.0006,12,a_002;a_004;a_005;a_007;a_009;a_010;a_1a;a_3b;a_4b;a_5b,0.37277036905288696,20000
16,a_006,0,2,0.010810194537043571,2.171513557434082,0.8577311635017395,0.00015,3,a_002;a_004;a_005;a_007;a_009;a_010;a_1a;a_3b;a_4b;a_5b,0.12317819893360138,20000
16,a_012,1,2,0.010810194537043571,2.171513557434082,0.8577311635017395,0.0001,2,a_002;a_004;a_005;a_007;a_009;a_010;a_1a;a_3b;a_4b;a_5b,0.199349045753479,20000
16,a_2a,0,2,0.010810194537043571,2.171513557434082,0.8577311635017395,0.0001,2,a_002;a_004;a_005;a_007;a_009;a_010;a_1a;a_3b;a_4b;a_5b,0.03996055945754051,20000
16,a_2b,0,2,0.010810194537043571,2.171513557434082,0.8577311635017395,0.0,0,a_002;a_004;a_005;a_007;a_009;a_010;a_1a;a_3b;a_4b;a_5b,0.018424663692712784,20000
16,a_5a,1,2,0.010810194537043571,2.171513557434082,0.8577311635017395,0.0008,16,a_002;a_004;a_005;a_007;a_009;a_010;a_1a;a_3b;a_4b;a_5b,0.4641667604446411,20000
17,a_004,0,3,0.02088870480656624,1.2894610166549683,0.5517253875732422,0.0,0,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a,0.028775811195373535,20000
