split_id,donor_id,y_true,filter_id,frequency,n_cells
33,a_4b,1,4.0,0.8764500021934509,20000
34,a_005,1,1.0,0.8030499815940857,20000
34,a_009,0,1.0,0.9047999978065491,20000
34,a_010,0,1.0,0.9013499617576599,20000
34,a_011,0,1.0,0.731749951839447,20000
34,a_2a,0,1.0,0.8924999833106995,20000
34,a_5a,1,1.0,0.9154999852180481,20000
35,a_004,0,0.0,0.5060999989509583,20000
35,a_009,0,0.0,0.7889999747276306,20000
35,a_012,1,0.0,0.6297000050544739,20000
35,a_2b,0,0.0,0.6535999774932861,20000
35,a_3a,0,0.0,0.6875,20000
35,a_5b,1,0.0,0.7360000014305115,20000
36,a_003,0,1.0,0.6771999597549438,20000
36,a_009,0,1.0,0.9213999509811401,20000
36,a_011,0,1.0,0.7847999930381775,20000
36,a_3a,0,1.0,0.6700499653816223,20000
36,a_4b,1,1.0,0.6280499696731567,20000
36,a_5b,1,1.0,0.8420999646186829,20000
37,a_004,0,3.0,0.0018999999156221747,20000
37,a_007,1,3.0,0.00019999999494757503,20000
37,a_011,0,3.0,0.0005499999970197678,20000
37,a_2a,0,3.0,0.00029999998514540493,20000
37,a_2b,0,3.0,0.00014999999257270247,20000
37,a_4a,1,3.0,0.0,20000
38,a_002,1,0.0,0.49514999985694885,20000
38,a_004,0,0.0,0.5202000141143799,20000
38,a_006,0,0.0,0.37439998984336853,20000
38,a_011,0,0.0,0.8209499716758728,20000
38,a_3a,0,0.0,0.47074997425079346,20000
38,a_5b,1,0.0,0.6325500011444092,20000
39,a_001,1,0.0,0.05114999786019325,20000
39,a_009,0,0.0,0.04959999769926071,20000
39,a_1a,0,0.0,0.012649999931454659,20000
39,a_2b,0,0.0,0.037049997597932816,20000
39,a_3a,0,0.0,0.026149999350309372,20000
39,a_4a,1,0.0,0.02944999933242798,20000
40,a_001,1,0.0,0.28415000438690186,20000
40,a_003,0,0.0,0.15109999477863312,20000
40,a_005,1,0.0,0.16269999742507935,20000
40,a_006,0,0.0,0.15199999511241913,20000
40,a_2a,0,0.0,0.460099995136261,20000
40,a_3b,0,0.0,0.4720499813556671,20000
41,a_001,1,1.0,0.9153499603271484,20000
41,a_006,0,1.0,0.8822000026702881,20000
41,a_009,0,1.0,0.9125999808311462,20000
41,a_2b,0,1.0,0.8894999623298645,20000
41,a_3a,0,1.0,0.8363499641418457,20000
41,a_4a,1,1.0,0.8628000020980835,20000
42,a_009,0,1.0,0.9938499927520752,20000
42,a_012,1,1.0,0.9626999497413635,20000
42,a_1a,0,1.0,0.8994999527931213,20000
42,a_2a,0,1.0,0.9560999870300293,20000
42,a_2b,0,1.0,0.9731999635696411,20000
42,a_4b,1,1.0,0.9039999842643738,20000
43,a_006,0,2.0,0.03009999915957451,20000
43,a_007,1,2.0,0.049149997532367706,20000
43,a_011,0,2.0,0.07705000042915344,20000
43,a_1a,0,2.0,0.01119999960064888,20000
43,a_2b,0,2.0,0.041200000792741776,20000
43,a_5b,1,2.0,0.07189999520778656,20000
44,a_002,1,0.0,0.840749979019165,20000
44,a_006,0,0.0,0.8631999492645264,20000
44,a_010,0,0.0,0.9148499965667725,20000
44,a_1a,0,0.0,0.6680499911308289,20000
44,a_3a,0,0.0,0.7475000023841858,20000
44,a_5a,1,0.0,0.8327999711036682,20000
45,a_003,0,0.0,0.5322499871253967,20000
45,a_005,1,0.0,0.5234999656677246,20000
45,a_009,0,0.0,0.5723999738693237,20000
45,a_3a,0,0.0,0.5628499984741211,20000
45,a_3b,0,0.0,0.623199999332428,20000
45,a_5b,1,0.0,0.5900499820709229,20000
46,a_001,1,4.0,0.7736499905586243,20000
46,a_003,0,4.0,0.8369999527931213,20000
46,a_010,0,4.0,0.7310000061988831,20000
46,a_011,0,4.0,0.9186999797821045,20000
46,a_012,1,4.0,0.9091999530792236,20000
46,a_3a,0,4.0,0.7338500022888184,20000
47,a_003,0,3.0,0.5913999676704407,20000
47,a_009,0,3.0,0.8779999613761902,20000
47,a_1a,0,3.0,0.38374999165534973,20000
47,a_2b,0,3.0,0.7247499823570251,20000
47,a_4b,1,3.0,0.4703499972820282,20000
47,a_5a,1,3.0,0.7360999584197998,20000
48,a_001,1,2.0,0.006000000052154064,20000
48,a_002,1,2.0,0.004350000061094761,20000
48,a_004,0,2.0,0.002699999837204814,20000
48,a_010,0,2.0,0.008499999530613422,20000
48,a_1a,0,2.0,0.00029999998514540493,20000
48,a_3b,0,2.0,0.0015499999281018972,20000
49,a_001,1,3.0,0.08709999918937683,20000
49,a_003,0,3.0,0.04645000025629997,20000
49,a_004,0,3.0,0.029899999499320984,20000
49,a_009,0,3.0,0.1111999973654747,20000
49,a_1a,0,3.0,0.031849998980760574,20000
49,a_4a,1,3.0,0.058649998158216476,20000
50,a_001,1,2.0,0.00044999999227002263,20000
50,a_003,0,2.0,9.999999747378752e-05,20000
50,a_006,0,2.0,0.0003499999875202775,20000
50,a_3a,0,2.0,0.0006500000017695129,20000
50,a_3b,0,2.0,0.000750000006519258,20000
50,a_4a,1,2.0,0.00044999999227002263,20000
51,a_004,0,0.0,0.7252500057220459,20000
51,a_1a,0,0.0,0.508650004863739,20000
51,a_2a,0,0.0,0.7904999852180481,20000
51,a_3b,0,0.0,0.6617499589920044,20000
51,a_4a,1,0.0,0.660099983215332,20000
51,a_5a,1,0.0,0.7523999810218811,20000
52,a_001,1,1.0,0.8577499985694885,20000
